TIMECODE,DATA1,DATA2
7.00007,-2.62814,20.0
7.01007,-2.72492,20.0
7.02007,-2.75161,20.0
7.03007,-2.89821,20.0
7.04007,-2.80472,20.0
7.05007,-3.65113,20.0
7.06007,-3.25746,20.0
7.07007,-2.88369,20.0
7.08007,-2.90982,20.0
7.09007,-3.23585,20.0
7.10007,-3.27179,20.0
7.11007,-3.33763,20.0
7.12007,-3.68337,20.0
7.13007,-3.129,20.0
7.14007,-3.32454,20.0
7.15007,-3.75997,20.0
7.16007,-3.33529,20.0
7.17007,-4.29051,20.0
7.18007,-3.91562,20.0
7.19007,-3.85062,20.0
7.20007,-3.57552,20.0
7.21007,-4.4503,20.0
7.22007,-3.62497,20.0
7.23007,-4.10953,20.0
7.24007,-4.41397,20.0
7.25007,-3.7483,20.0
7.26007,-4.25252,20.0
7.27007,-4.04661,20.0
7.28007,-4.36059,20.0
7.29007,-4.22444,20.0
7.30007,-3.89818,20.0
7.31007,-4.9118,20.0
7.32007,-4.18529,20.0
7.33007,-4.74866,20.0
7.34007,-4.2119,20.0
7.35007,-4.30502,20.0
7.36007,-4.62801,20.0
7.37007,-5.14087,20.0
7.38007,-4.2736,20.0
7.39007,-4.45621,20.0
7.40007,-4.70868,20.0
7.41007,-4.78102,20.0
7.42007,-5.12322,20.0
7.43008,-5.22529,20.0
7.44008,-4.71723,20.0
7.45008,-4.54902,20.0
7.46008,-5.07068,20.0
7.47008,-5.42221,20.0
7.48008,-5.55359,20.0
7.49008,-5.41483,20.0
7.50008,-5.26593,20.0
7.51008,-4.93688,20.0
7.52008,-5.4577,20.0
7.53008,-5.17836,20.0
7.54008,-5.51889,20.0
7.55008,-5.46926,20.0
7.56008,-5.91949,20.0
7.57008,-5.56956,20.0
7.58008,-5.78949,20.0
7.59008,-5.52927,20.0
7.60008,-5.42889,20.0
7.61008,-5.56836,20.0
7.62008,-5.96768,20.0
7.63008,-5.44684,20.0
7.64008,-5.45585,20.0
7.65008,-6.2447,20.0
7.66008,-5.96339,20.0
7.67008,-5.83192,20.0
7.68008,-6.2003,20.0
7.69008,-6.28851,20.0
7.70008,-6.15656,20.0
7.71008,-5.57445,20.0
7.72008,-6.05217,20.0
7.73008,-6.53973,20.0
7.74008,-5.96713,20.0
7.75008,-6.35435,20.0
7.76008,-5.88142,20.0
7.77008,-6.56831,20.0
7.78008,-6.74503,20.0
7.79008,-6.70158,20.0
7.80008,-6.07797,20.0
7.81008,-6.21418,20.0
7.82008,-6.16021,20.0
7.83008,-6.36608,20.0
7.84008,-6.27176,20.0
7.85008,-6.34728,20.0
7.86009,-6.95261,20.0
7.87009,-6.68777,20.0
7.88009,-6.53275,20.0
7.89009,-6.93756,20.0
7.90009,-6.80218,20.0
7.91009,-6.51662,20.0
7.92009,-7.07088,20.0
7.93009,-6.76496,20.0
7.94009,-7.25885,20.0
7.95009,-7.22256,20.0
7.96009,-6.82608,20.0
7.97009,-6.74942,20.0
7.98009,-7.39257,20.0
7.99009,-6.87554,20.0
8.00009,-7.33831,20.0
8.01009,-7.2109,20.0
8.02009,-6.89329,20.0
8.03009,-7.5655,20.0
8.04009,-7.67751,20.0
8.05009,-7.50934,20.0
8.06009,-7.31096,20.0
8.07009,-7.5724,20.0
8.08009,-7.46364,20.0
8.09009,-7.52468,20.0
8.10009,-7.41553,20.0
8.11009,-7.57618,20.0
8.12009,-7.16663,20.0
8.13009,-7.86689,20.0
8.14009,-7.91694,20.0
8.15009,-7.90679,20.0
8.16009,-7.69645,20.0
8.17009,-7.9259,20.0
8.18009,-7.99515,20.0
8.19009,-7.65419,20.0
8.20009,-8.15304,20.0
8.21009,-7.52167,20.0
8.22009,-7.37011,20.0
8.23009,-7.35833,20.0
8.24009,-7.80635,20.0
8.25009,-7.77416,20.0
8.26009,-8.30177,20.0
8.27009,-8.08916,20.0
8.28009,-7.72635,20.0
8.29009,-8.14332,20.0
8.30009,-7.94009,20.0
8.31009,-8.37664,20.0
8.3201,-8.01298,20.0
8.3301,-7.83911,20.0
8.3401,-8.11503,20.0
8.3501,-7.68073,20.0
8.3601,-7.71621,20.0
8.3701,-7.90148,20.0
8.3801,-8.02654,20.0
8.3901,-8.52137,20.0
8.4001,-8.13599,20.0
8.4101,-8.2104,20.0
8.4201,-8.60458,20.0
8.4301,-8.04855,20.0
8.4401,-7.98229,20.0
8.4501,-8.67582,20.0
8.4601,-8.78912,20.0
8.4701,-8.8022,20.0
8.4801,-7.96506,20.0
8.4901,-8.3677,20.0
8.5001,-8.32012,20.0
8.5101,-8.07231,20.0
8.5201,-8.50427,20.0
8.5301,-8.06601,20.0
8.5401,-8.21753,20.0
8.5501,-8.99882,20.0
8.5601,-8.58988,20.0
8.5701,-8.87072,20.0
8.5801,-8.63133,20.0
8.5901,-8.61171,20.0
8.6001,-8.52186,20.0
8.6101,-8.79179,20.0
8.6201,-8.56148,20.0
8.6301,-9.20094,20.0
8.6401,-8.51018,20.0
8.6501,-8.82918,20.0
8.6601,-9.16795,20.0
8.6701,-8.70649,20.0
8.6801,-8.8448,20.0
8.6901,-8.64287,20.0
8.7001,-8.59071,20.0
8.7101,-8.84832,20.0
8.7201,-9.05569,20.0
8.7301,-9.36283,20.0
8.7401,-8.93973,20.0
8.7501,-8.5464,20.0
8.76011,-8.80283,20.0
8.77011,-9.36902,20.0
8.78011,-9.46498,20.0
8.79011,-8.5307,20.0
8.80011,-8.85618,20.0
8.81011,-9.31143,20.0
8.82011,-8.71644,20.0
8.83011,-9.28121,20.0
8.84011,-8.77573,20.0
8.85011,-9.14002,20.0
8.86011,-8.65407,20.0
8.87011,-9.44788,20.0
8.88011,-9.14145,20.0
8.89011,-9.45478,20.0
8.90011,-9.39787,20.0
8.91011,-9.38072,20.0
8.92011,-8.90332,20.0
8.93011,-9.33568,20.0
8.94011,-8.8778,20.0
8.95011,-8.97968,20.0
8.96011,-9.25132,20.0
8.97011,-9.36271,20.0
8.98011,-9.69385,20.0
8.99011,-9.63476,20.0
9.00011,-8.85542,20.0
9.01011,-8.87583,20.0
9.02011,-9.606,20.0
9.03011,-8.90593,20.0
9.04011,-9.65561,20.0
9.05011,-9.34504,20.0
9.06011,-9.20423,20.0
9.07011,-9.67318,20.0
9.08011,-9.68187,20.0
9.09011,-9.45033,20.0
9.10011,-9.38853,20.0
9.11011,-8.89649,20.0
9.12011,-9.0242,20.0
9.13011,-9.67166,20.0
9.14011,-9.82888,20.0
9.15011,-9.65585,20.0
9.16011,-8.97257,20.0
9.17011,-9.67904,20.0
9.18011,-9.45527,20.0
9.19011,-9.10125,20.0
9.20012,-9.75697,20.0
9.21012,-9.47246,20.0
9.22012,-9.04769,20.0
9.23012,-9.57267,20.0
9.24012,-9.31741,20.0
9.25012,-9.01189,20.0
9.26012,-9.55613,20.0
9.27012,-9.20012,20.0
9.28012,-9.80385,20.0
9.29012,-9.65734,20.0
9.30012,-9.83058,20.0
9.31012,-9.88357,20.0
9.32012,-9.73631,20.0
9.33012,-9.1388,20.0
9.34012,-9.85104,20.0
9.35012,-9.28303,20.0
9.36012,-9.93477,20.0
9.37012,-9.46627,20.0
9.38012,-9.59751,20.0
9.39012,-9.0185,20.0
9.40012,-9.55924,20.0
9.41012,-9.90973,20.0
9.42012,-9.94997,20.0
9.43012,-9.76996,20.0
9.44012,-9.22971,20.0
9.45012,-9.1992,20.0
9.46012,-9.19844,20.0
9.47012,-9.31743,20.0
9.48012,-9.41617,20.0
9.49012,-9.29466,20.0
9.50012,-9.0329,20.0
9.51012,-9.4809,20.0
9.52012,-9.55864,20.0
9.53012,-9.32613,20.0
9.54012,-9.60337,20.0
9.55012,-9.25037,20.0
9.56012,-9.66711,20.0
9.57012,-9.4536,20.0
9.58012,-9.62985,20.0
9.59012,-9.15585,20.0
9.60012,-9.34159,20.0
9.61012,-8.97709,20.0
9.62012,-9.94234,20.0
9.63013,-9.55734,20.0
9.64013,-8.96209,20.0
9.65013,-9.82659,20.0
9.66013,-9.09084,20.0
9.67013,-9.19485,20.0
9.68013,-9.33861,20.0
9.69013,-9.75212,20.0
9.70013,-9.47538,20.0
9.71013,-9.11839,20.0
9.72013,-9.15116,20.0
9.73013,-9.51368,20.0
9.74013,-9.58595,20.0
9.75013,-9.71798,20.0
9.76013,-9.14975,20.0
9.77013,-9.18129,20.0
9.78013,-9.27257,20.0
9.79013,-9.48361,20.0
9.80013,-9.27441,20.0
9.81013,-8.89495,20.0
9.82013,-9.32526,20.0
9.83013,-9.75531,20.0
9.84013,-8.87513,20.0
9.85013,-9.1347,20.0
9.86013,-8.98402,20.0
9.87013,-9.6731,20.0
9.88013,-9.19193,20.0
9.89013,-9.06053,20.0
9.90013,-8.98888,20.0
9.91013,-9.45698,20.0
9.92013,-9.68485,20.0
9.93013,-9.42247,20.0
9.94013,-9.01985,20.0
9.95013,-8.78698,20.0
9.96013,-8.65388,20.0
9.97013,-9.39053,20.0
9.98013,-9.45695,20.0
9.99013,-9.11312,20.0
10.0001,-9.48905,20.0
10.0101,-9.04475,20.0
